lon,lat
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3698028,29.7604267
-95.3102505,29.7751825
-91.6672926,29.8129976
-97.938351,29.888411
-90.0715323,29.9510658
-90.0715323,29.9510658
-90.1243154,29.970694
-95.1902986,30.0575359
-95.4672962,30.1261952
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-97.7430608,30.267153
-95.4560512,30.3118769
-86.4532946,30.3881538
-84.2807329,30.4382559
-87.335378,30.454685
-97.6222665,30.4548451
-96.3344068,30.627977
-96.3344068,30.627977
-96.3344068,30.627977
-81.6064866,30.6319034
-88.0398912,30.6953657
76.7794179,30.7333148
-91.9623327,30.9842977
-91.9623327,30.9842977
-91.9623327,30.9842977
-97.342782,31.0982344
-97.7277959,31.1171194
-97.7277959,31.1171194
-97.7277959,31.1171194
-97.8108488,31.1204769
-97.5247243,31.134411
-83.7888387,31.1799407
-81.4864072,31.183817
74.3587473,31.5203696
-92.2151346,31.6540615
-106.4850217,31.7618778
-106.4850217,31.7618778
35.21371,31.768319
-89.7336852,31.8737712
-109.655617,31.879684
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-99.9018131,31.9685988
-82.9000751,32.1656221
-82.9000751,32.1656221
-82.9000751,32.1656221
-98.2022633,32.2206958
-110.926479,32.2217429
-110.926479,32.2217429
-110.926479,32.2217429
-110.926479,32.2217429
-110.926479,32.2217429
-110.926479,32.2217429
-110.9582847,32.2280019
-90.064848,32.3188539
-80.6698286,32.4315813
-83.735346,32.4576602
-117.0301235,32.5444156
-85.4807825,32.6098566
-85.4807825,32.6098566
-117.1610966,32.7157305
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-117.1610838,32.715738
-97.3138554,32.7248887
-97.3307658,32.7554883
-97.3307658,32.7554883
-79.9310512,32.7764749
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.7969879,32.7766642
-96.9488945,32.8140177
-111.2845025,32.8162061
-83.6324022,32.8406946
-79.9748103,32.8546197
-97.0403352,32.8998091
-97.0403352,32.8998091
-97.0403352,32.8998091
-97.0403352,32.8998091
-97.0403352,32.8998091
-87.1386067,32.9445682
-96.8896003,32.9831674
-97.0969552,33.0145673
-96.6988856,33.0198431
-96.9262805,33.0274105
-97.0466759,33.091788
-96.0617155,33.0929274
-97.0255641,33.1192875
-117.3505939,33.1580933
-111.5468301,33.177294
-97.1094223,33.1857859
-117.3794834,33.1958696
-96.6397822,33.1972465
-97.1330683,33.2148412
43.679291,33.223191
-86.6611083,33.3039292
-83.3884961,33.3267997
-86.954437,33.4017766
-111.8314724,33.4151843
-111.9400054,33.4255104
-112.0740373,33.4483771
-112.0740373,33.4483771
-112.0740373,33.4483771
-112.0740373,33.4483771
-112.0740373,33.4483771
-112.0740373,33.4483771
-112.0740373,33.4483771
-112.0740373,33.4483771
-82.0105148,33.4734978
-111.9260519,33.4941704
-111.9260519,33.4941704
-111.9260519,33.4941704
-111.9260519,33.4941704
-111.9260519,33.4941704
-111.9260519,33.4941704
-111.9260519,33.4941704
-111.9426452,33.5311541
-117.6581562,33.5968913
-117.9298493,33.6188829
-117.8265049,33.6845673
-117.8265049,33.6845673
-117.9621913,33.70439
-117.8311428,33.7174708
-117.8311428,33.7174708
-117.867653,33.7454725
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3879824,33.7489954
-84.3640829,33.7589188
-117.7901088,33.7635422
-118.1937395,33.7700504
-118.1937395,33.7700504
-84.2963123,33.7748275
-117.8531007,33.7879139
-84.328008,33.7993178
-116.494929,33.8222099
-118.3406288,33.8358492
-81.1637245,33.836081
-81.1637245,33.836081
-118.3884078,33.8491816
-84.2171424,33.8545479
35.862285,33.854721
-118.3995194,33.8622366
-117.9242123,33.8703645
-118.4109089,33.8847361
-118.1718677,33.8952237
-118.0120086,33.9172357
35.5975656,33.9220397
-117.946137,33.9318591
-118.1331593,33.9401088
-83.357567,33.9519347
-83.357567,33.9519347
-84.5499327,33.952602
-84.5499327,33.952602
-118.158261,33.9674323
-80.4870799,33.9697844
-118.392419,33.977036
-118.4517449,33.9802893
-81.0348144,34.0007104
-81.0348144,34.0007104
-81.0348144,34.0007104
-81.0348144,34.0007104
-118.4911912,34.0194543
100.6196553,34.047863
-111.0937311,34.0489281
-111.0937311,34.0489281
-111.0937311,34.0489281
-118.4732464,34.0521011
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-118.2436849,34.0522342
-106.8914159,34.0583995
-118.4455164,34.0635016
-118.3764012,34.078994
-117.905593,34.089006
-117.8903397,34.0900091
-83.9811014,34.1140497
-83.9765722,34.1331569
-117.865339,34.1361187
-118.451357,34.1489719
-77.9447102,34.2257255
-102.4107493,34.2331373
-102.4107493,34.2331373
-119.1390642,34.3704884
-119.6981901,34.4208305
-119.6981901,34.4208305
-119.242889,34.4480495
-86.9280617,34.453428
-105.8700901,34.5199402
-86.5861037,34.7303688
-84.7699385,34.7659145
-102.3977036,34.8150622
-81.0250784,34.9248667
-81.9320482,34.9495672
-81.9320482,34.9495672
-116.419389,34.9592083
-116.419389,34.9592083
-116.419389,34.9592083
-116.419389,34.9592083
-116.419389,34.9592083
-116.419389,34.9592083
-78.9453056,34.9704419
-97.092877,35.0077519
-97.092877,35.0077519
-78.8783585,35.0526641
-106.6055534,35.0853336
-106.6055534,35.0853336
-92.4421011,35.0886963
-80.7236804,35.1168131
-90.0536592,35.1406175
-90.0536592,35.1406175
-90.0489801,35.1495343
-90.0489801,35.1495343
-90.0489801,35.1495343
-80.875187,35.153364
-91.8318334,35.20105
-80.8431267,35.2270869
-80.8431267,35.2270869
-80.8431267,35.2270869
-80.8431267,35.2270869
-80.8431267,35.2270869
-80.8431267,35.2270869
-106.6066926,35.2378197
-119.0187125,35.3732921
-119.0187125,35.3732921
-77.9927651,35.3848841
-80.8428504,35.410694
-97.5164276,35.4675602
-97.5164276,35.4675602
-97.5164276,35.4675602
-97.5164276,35.4675602
-97.5164276,35.4675602
-97.5164276,35.4675602
-86.5804473,35.5174913
-86.5804473,35.5174913
-86.5804473,35.5174913
-86.5804473,35.5174913
-86.5804473,35.5174913
-97.5644707,35.5278582
45.4359425,35.5570454
-75.4665158,35.5584932
-82.5514869,35.5950581
-82.5514869,35.5950581
-97.4780954,35.6528323
-80.43478,35.6923614
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-79.0192997,35.7595731
-78.6381787,35.7795897
-78.6381787,35.7795897
-78.6381787,35.7795897
-78.6381787,35.7795897
-78.6381787,35.7795897
-78.6381787,35.7795897
-95.674149,35.8203784
-84.68494,35.8656284
-106.3031138,35.8800364
-78.8636402,35.8991678
-78.8636402,35.8991678
-79.0558445,35.9131996
-79.0558445,35.9131996
-79.0558445,35.9131996
-86.8688899,35.9250637
-95.8833235,35.9420431
-83.9207392,35.9606384
-83.9207392,35.9606384
-83.9207392,35.9606384
-78.5097228,35.9798734
-78.898619,35.9940329
-78.898619,35.9940329
-78.898619,35.9940329
-94.3296188,35.9941087
-79.1096901,36.0263022
-95.8496363,36.0389502
-114.9817213,36.0395247
-95.9618958,36.0404924
-79.7919754,36.0726354
-115.1817969,36.0742276
-115.1745559,36.1023715
-78.8948741,36.1031244
-95.971261,36.153315
-95.992775,36.1539816
-95.992775,36.1539816
-86.7816016,36.1626638
-86.7816016,36.1626638
-86.7816016,36.1626638
-86.7816016,36.1626638
-86.7816016,36.1626638
-86.7816016,36.1626638
-86.7816016,36.1626638
-86.7816016,36.1626638
-115.1398296,36.1699412
-115.1398296,36.1699412
-115.1398296,36.1699412
-115.1398296,36.1699412
-115.1398296,36.1699412
-115.1398296,36.1699412
-115.1398296,36.1699412
-115.1398296,36.1699412
-115.1398296,36.1699412
-95.8895752,36.1902524
138.252924,36.204824
-94.304294,36.2786587
-82.4734787,36.2942722
-95.8353466,36.2950067
-121.3541631,36.3136201
-94.2088172,36.3728538
-5.1510261,36.4256345
28.2176379,36.4340533
-87.3594528,36.5297706
-121.9232879,36.5552386
-4.6323067,36.5967755
-121.09191,36.6371434
-121.6555013,36.6777372
-108.2186856,36.7280583
-119.7725868,36.7468422
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-119.4179324,36.778261
-76.3036051,36.860402
-87.4883295,36.882565
-122.0307963,36.9741171
-76.3452218,37.0298687
-76.3452218,37.0298687
-79.6393985,37.0497134
-88.6000478,37.0833893
-95.712891,37.09024
-95.712891,37.09024
-95.712891,37.09024
-95.712891,37.09024
-95.712891,37.09024
-95.712891,37.09024
-113.5684164,37.0965278
-80.5764477,37.1317924
-94.8441239,37.1692278
-93.2922989,37.2089572
-93.2922989,37.2089572
-95.7099399,37.2248982
-80.4234167,37.2283843
-80.4139393,37.2295733
-80.4139393,37.2295733
-80.4139393,37.2295733
-80.4139393,37.2295733
-80.4139393,37.2295733
-80.4139393,37.2295733
-121.8863286,37.3382082
-121.8863286,37.3382082
-121.8863286,37.3382082
-2.0401779,37.3418279
-121.9552356,37.3541079
-122.0575434,37.387474
-5.9844589,37.3890924
-78.6568942,37.4315734
-78.6568942,37.4315734
-78.6568942,37.4315734
-78.6568942,37.4315734
-78.6568942,37.4315734
-78.6568942,37.4315734
-78.6568942,37.4315734
-78.6568942,37.4315734
-78.6568942,37.4315734
-122.4014193,37.4337342
-122.1430195,37.4418834
-122.1817252,37.4529598
-122.1848225,37.4533037
-122.2605222,37.5071591
-95.1620751,37.5161985
-77.4360481,37.5407246
-77.4360481,37.5407246
-77.4360481,37.5407246
-122.3255254,37.5629917
-122.3255254,37.5629917
126.9779692,37.566535
-77.5216242,37.5944809
-93.4104749,37.6144838
-97.330053,37.6871761
-122.0863522,37.6940973
-97.2928549,37.7168413
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
-122.4194155,37.7749295
